,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,ID,description,input_string,number_of_results,status
69,"Nea Smyrni, Greece",37.9442881,23.7117556,APPROXIMATE,ChIJvXOxxEy8oRQRl3mevrHaz1U,"locality,political",,125,Βίαιη σύλληψη ατόμου ενώ κάτοικοι αποδοκιμάζουν,Νέα Σμύρνη,1,OK
70,"Pl. Sintrivaniou, Thessaloniki 546 21, Greece",40.6306575,22.9532764,GEOMETRIC_CENTER,ChIJoyWGKwA5qBQRgdRxizdHmms,route,546 21,126,"Ξυλοδαρμός φοιτητή (υπόθεση ""ζαρντινιέρα"")",Πλατεία Συντριβανίου Θεσσαλονίκη,1,OK
71,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,127,Δολοφονία του δεκαπεντάχρονου μαθητή Αλ. Γρηγορόπουλου,Εξάρχεια,1,OK
72,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,134,Επίθεση των ΜΑΤ σε πρόσφυγες στην Πλατεία Βικτωρίας,Αθήνα,1,OK
73,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,135,Μηχανή της ομάδας ΔΕΛΤΑ χτυπάει την Αγγ. Κουτσουμπού κατά τη διάρκεια διαδήλωσης,Αθήνα,1,OK
74,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,136,"""Μη με βαρέσεις"" - ΜΑΤ χτυπάει διαδηλωτή στο κεφάλι",Αθήνα,1,OK
75,"Monastiraki, Athina, Greece",37.9758108,23.7268379,APPROXIMATE,ChIJ9S6n5yK9oRQRUk87-S29ACY,"neighborhood,political",,137,Έφοδος της ομάδας ΔΡΑΣΗ και χειροβομβίδες κρότου λάμψης σε εστιατόρια,"Μοναστηράκι, Αθήνα",1,OK
76,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,138,ΜΑΤ ρίχνουν δακρυγόνα μέσα στο σταθμό μετρό στο Σύνταγμα,Αθήνα,1,OK
77,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,139,"Κουκουλοφόροι συνομιλούν με ΜΑΤ, περπατάνε δίπλα τους, και μπαίνουν στο προαύλιο της Βουλής",Αθήνα,1,OK
78,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,140,Ξύλο και δακρυγόνα σε διαδηλωτές στο άγαλμα του Τρούμαν,Αθήνα,1,OK
79,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,141,Επίθεση με χημικά στο ιατρείο της Πλατείας Συντάγματος,Αθήνα,1,OK
80,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,142,ΜΑΤ πετάνε μάρμαρα σε διαδηλωτές,Αθήνα,1,OK
